perturbation,dataset,n_cells,closest_severity,recovery_score,disease_score,dist_healthy,dist_mild,dist_moderate,dist_severe,dist_fatal,dist_recovered,sim_healthy,sim_mild,sim_moderate,sim_severe,sim_fatal,sim_recovered
MRAP2_P1P2-1|MRAP2_P1P2-2,hct116,6,recovered,20.780605,-0.8277582,79.24533,80.33674,79.41957,80.05131,79.3075,77.47366,0.012461784,0.012294567,0.012434784,0.012337863,0.012452137,0.012743128
GCNT7_ENST00000243913.4-1|GCNT7_ENST00000243913.4-2,hct116,9,recovered,20.780228,-1.2834102,83.342995,84.44523,83.68329,84.16676,83.510765,81.71911,0.011856349,0.011703404,0.0118087055,0.01174167,0.011832812,0.012089105
NECAB3_P1-1|NECAB3_P1-2,hct116,8,recovered,20.780058,-0.6793485,81.40074,82.48227,81.59233,82.166565,81.50551,79.65752,0.012135813,0.011978592,0.012107662,0.012024063,0.012120402,0.0123981
CYRIA_P1P2-1|CYRIA_P1P2-2,hct116,5,recovered,20.77998,0.32634962,81.45214,82.468636,81.53243,82.08854,81.402985,79.577034,0.012128248,0.0119805485,0.012116449,0.012035354,0.012135482,0.012410484
ITSN2_P1P2-1|ITSN2_P1P2-2,hct116,5,recovered,20.779772,-0.89800024,82.17627,83.30285,82.38287,82.9627,82.21072,80.478516,0.01202266,0.011861996,0.011992871,0.01191005,0.012017683,0.012273174
PPFIA3_P1-1|PPFIA3_P1-2,hct116,18,recovered,20.779633,-0.8067931,81.685844,82.78595,81.94083,82.4653,81.757195,79.9657,0.012093969,0.011935175,0.012056788,0.011981026,0.012083542,0.012350909
BHLHE23_P1P2-1|BHLHE23_P1P2-2,hct116,7,recovered,20.779242,-0.74961627,82.194405,83.29226,82.40222,82.96182,82.249535,80.47772,0.012020039,0.011863486,0.011990088,0.011910175,0.012012079,0.012273294
GPR171_P1P2-1|GPR171_P1P2-2,hct116,8,recovered,20.778555,-1.7590088,82.113464,83.29522,82.410255,83.00982,82.24758,80.52733,0.012031745,0.011863069,0.011988933,0.011903371,0.012012361,0.012265826
CFAP69_P1P2-1|CFAP69_P1P2-2,hct116,5,recovered,20.7784,-2.3302867,84.319435,85.51494,84.681046,85.263176,84.50029,82.848274,0.011720659,0.011558698,0.011671193,0.011592432,0.0116958665,0.011926304
JRKL_P1P2-1|JRKL_P1P2-2,hct116,12,recovered,20.77837,-0.081425965,81.28164,82.33642,81.41557,81.97177,81.24013,79.4569,0.01215338,0.011999556,0.012133629,0.012052292,0.012159514,0.012429015
CFAP157_P1P2-1|CFAP157_P1P2-2,hct116,9,recovered,20.77807,-0.46723536,81.90767,82.96218,82.139984,82.64176,81.92005,80.14797,0.012061611,0.011910124,0.012027907,0.01195575,0.01205981,0.012323167
LY6G6C_P1P2-1|LY6G6C_P1P2-2,hct116,8,recovered,20.777905,-0.6732976,81.458046,82.549736,81.730255,82.22256,81.50672,79.71569,0.012127379,0.011968919,0.012087476,0.012015973,0.012120225,0.012389165
SYNE4_P1P2-1|SYNE4_P1P2-2,hct116,7,recovered,20.777126,-1.2076541,83.645775,84.75874,83.907135,84.457146,83.80414,82.018745,0.011813939,0.011660619,0.011777573,0.011701772,0.011791877,0.012045472
EXOSC6_P1P2-1|EXOSC6_P1P2-2,hct116,5,recovered,20.776955,0.071639985,80.035484,81.03727,80.17729,80.7163,80.07463,78.16133,0.012340273,0.012189582,0.012318716,0.01223746,0.012334314,0.0126324305
OLFML2A_P1P2-1|OLFML2A_P1P2-2,hct116,11,recovered,20.776882,0.54510516,81.839455,82.832085,81.933,82.444916,81.73437,79.94523,0.012071542,0.011928607,0.0120579265,0.011983953,0.012086876,0.012354033
non-targeting_03352|non-targeting_00933,hct116,8,recovered,20.776878,-1.147042,82.68503,83.80743,83.01692,83.498085,82.78944,81.03088,0.011949569,0.01179142,0.011902364,0.011834588,0.011934679,0.012190531
HAPLN1_P1P2-1|HAPLN1_P1P2-2,hct116,5,recovered,20.776516,-1.6505265,82.25555,83.38123,82.60397,83.13662,82.398865,80.65843,0.012011211,0.011850976,0.011961154,0.011885432,0.01199057,0.012246133
KIAA1549_P1P2-1|KIAA1549_P1P2-2,hct116,5,recovered,20.776482,-0.75515807,81.856415,82.94647,82.09228,82.62768,81.92245,80.133766,0.012069072,0.011912353,0.012034813,0.011957764,0.01205946,0.012325324
VSIG10L_P2-1|VSIG10L_P2-2,hct116,6,recovered,20.776352,0.04331687,80.07773,81.120766,80.1889,80.76188,80.062386,78.20852,0.012333843,0.012177188,0.012316954,0.012230638,0.012336178,0.0126249045
